team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
Natus Vincere Natus Vincere,1, 1.19,81,19,73, 16.20, 3.80, 14.60, 79.04,G2 G2,3, 0.94,73,24,82, 14.60, 4.80, 16.40, 72.32,-2, 0.25,8,-5,-9, 33.6,0
Natus Vincere Natus Vincere,1, 1.19,85,34,76, 17.00, 6.80, 15.20, 79.92,G2 G2,3, 1.02,76,32,86, 15.20, 6.40, 17.20, 77.64,-2, 0.17,9,2,-10, 11.4,0
Astralis Astralis,17, 1.61,69,22,36, 13.80, 4.40, 7.20, 88.00,Spirit Spirit,4, 0.51,34,10,69, 6.80, 2.00, 13.80, 58.88,13, 1.10,35,12,-33, 145.6,0
Astralis Astralis,17, 0.59,38,10,68, 7.60, 2.00, 13.60, 53.94,Spirit Spirit,4, 1.45,68,36,38, 13.60, 7.20, 7.60, 80.04,13,-0.86,-30,-26,30,-130.5,1
Astralis Astralis,17, 1.05,78,30,78, 15.60, 6.00, 15.60, 71.22,Astralis Astralis,4, 1.05,78,30,78, 15.60, 6.00, 15.60, 71.22,13, 0.00,0,0,0, 0.0,1
Vitality Vitality,2, 1.15,98,37,88, 19.60, 7.40, 17.60, 75.96,Liquid Liquid,8, 0.95,88,33,98, 17.60, 6.60, 19.60, 68.04,-6, 0.20,10,4,-10, 39.6,0
Vitality Vitality,2, 1.11,80,14,72, 16.00, 2.80, 14.40, 71.36,Liquid Liquid,8, 0.94,72,18,80, 14.40, 3.60, 16.00, 69.62,-6, 0.17,8,-4,-8, 8.7,0
G2 G2,3, 1.10,77,29,71, 15.40, 5.80, 14.20, 72.40,Spirit Spirit,4, 0.96,69,19,78, 13.80, 3.80, 15.60, 71.06,-1, 0.14,8,10,-7, 6.7,0
G2 G2,3, 1.05,101,39,92, 20.20, 7.80, 18.40, 73.90,Spirit Spirit,4, 0.98,91,31,101, 18.20, 6.20, 20.20, 70.72,-1, 0.07,10,8,-9, 15.9,0
FaZe FaZe,7, 1.29,72,25,54, 14.40, 5.00, 10.80, 79.94,Liquid Liquid,8, 0.85,54,30,73, 10.80, 6.00, 14.60, 64.68,-1, 0.44,18,-5,-19, 76.3,0
FaZe FaZe,7, 1.46,66,28,39, 13.20, 5.60, 7.80, 85.00,Liquid Liquid,8, 0.65,39,10,66, 7.80, 2.00, 13.20, 57.92,-1, 0.81,27,18,-27, 135.4,0
Vitality Vitality,2, 1.10,75,21,69, 15.00, 4.20, 13.80, 73.44,G2 G2,3, 1.04,69,26,75, 13.80, 5.20, 15.00, 70.90,-1, 0.06,6,-5,-6, 12.7,0
