team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
FaZe FaZe,6, 0.80,57,20,77, 11.40, 4.00, 15.40, 63.64,MOUZ MOUZ,5, 1.30,76,22,58, 15.20, 4.40, 11.60, 80.16,1,-0.50,-19,-2,19,-82.6,1
Vitality Vitality,3, 1.25,75,22,61, 15.00, 4.40, 12.20, 78.90,MOUZ MOUZ,5, 0.85,60,25,75, 12.00, 5.00, 15.00, 66.42,-2, 0.40,15,-3,-14, 62.4,0
Vitality Vitality,3, 1.04,85,18,81, 17.00, 3.60, 16.20, 75.34,MOUZ MOUZ,5, 1.03,81,26,89, 16.20, 5.20, 17.80, 75.44,-2, 0.01,4,-8,-8,-0.5,1
Vitality Vitality,3, 0.88,64,25,77, 12.80, 5.00, 15.40, 64.66,MOUZ MOUZ,5, 1.14,77,30,65, 15.40, 6.00, 13.00, 74.18,-2,-0.26,-13,-5,12,-47.6,1
Virtus.pro Virtus.pro,9, 0.69,41,9,70, 8.20, 1.80, 14.00, 61.24,Natus Vincere Natus Vincere,1, 1.38,68,24,42, 13.60, 4.80, 8.40, 84.10,8,-0.69,-27,-15,28,-114.3,1
Virtus.pro Virtus.pro,9, 1.13,83,28,74, 16.60, 5.60, 14.80, 75.94,Natus Vincere Natus Vincere,1, 0.93,74,13,83, 14.80, 2.60, 16.60, 66.92,8, 0.20,9,15,-9, 45.1,1
HEROIC HEROIC,16, 1.13,78,32,75, 15.60, 6.40, 15.00, 77.06,Natus Vincere Natus Vincere,1, 1.03,75,23,78, 15.00, 4.60, 15.60, 76.54,15, 0.10,3,9,-3, 2.6,0
HEROIC HEROIC,16, 0.96,94,26,99, 18.80, 5.20, 19.80, 71.60,Natus Vincere Natus Vincere,1, 1.07,98,31,94, 19.60, 6.20, 18.80, 71.90,15,-0.11,-4,-5,5,-1.5,1
HEROIC HEROIC,16, 0.69,49,18,73, 9.80, 3.60, 14.60, 61.24,Natus Vincere Natus Vincere,1, 1.37,73,24,49, 14.60, 4.80, 9.80, 81.16,15,-0.68,-24,-6,24,-99.6,1
FURIA FURIA,14, 0.61,38,13,72, 7.60, 2.60, 14.40, 55.08,MOUZ MOUZ,5, 1.56,72,22,38, 14.40, 4.40, 7.60, 91.90,9,-0.95,-34,-9,34,-184.1,1
FURIA FURIA,14, 0.70,43,14,68, 8.60, 2.80, 13.60, 60.26,MOUZ MOUZ,5, 1.42,68,29,43, 13.60, 5.80, 8.60, 86.44,9,-0.72,-25,-15,25,-130.9,1
Natus Vincere Natus Vincere,1, 1.18,82,41,69, 16.40, 8.20, 13.80, 73.24,MOUZ MOUZ,5, 0.92,68,22,82, 13.60, 4.40, 16.40, 66.64,-4, 0.26,14,19,-13, 33.0,0
Natus Vincere Natus Vincere,1, 1.76,68,29,32, 13.60, 5.80, 6.40, 93.74,MOUZ MOUZ,5, 0.48,32,11,68, 6.40, 2.20, 13.60, 52.16,-4, 1.28,36,18,-36, 207.9,0
Natus Vincere Natus Vincere,1, 0.72,50,17,78, 10.00, 3.40, 15.60, 63.14,MOUZ MOUZ,5, 1.39,78,22,50, 15.60, 4.40, 10.00, 84.62,-4,-0.67,-28,-5,28,-107.4,1
Natus Vincere Natus Vincere,1, 1.20,91,32,77, 18.20, 6.40, 15.40, 81.90,MOUZ MOUZ,5, 0.94,77,30,93, 15.40, 6.00, 18.60, 70.18,-4, 0.26,14,2,-16, 58.6,0
